words	occurences
modifier	1
chronic	3
pseudomonas	1
aeruginosa	2
infection	10
cystic	2
pa	9
fibrosis	1
cf	11
patients	12
associated	2
worse	2
long-term	1
pulmonary	2
disease	2
shorter	2
survival	2
cpa	9
reduced	1
lung	2
function	1
faster	1
rate	1
decline	1
increased	1
rates	1
exacerbations	1
by	1
using	1
exome	1
sequencing	2
extreme	1
phenotype	1
design	1
recently	1
shown	1
isoforms	1
dynactin	1
may	2
influence	1
leading	1
respiratory	1
the	1
purpose	1
study	1
investigate	1
role	1
missense	4
variants	6
incidence	2
age	1
first	1
cohort	1
adult	2
single	1
centre	2
polymerase	1
chain	1
reaction	1
direct	1
used	1
screen	1
dna	1
samples	1
a	1
total	1
cochin	1
hospital	1
included	1
carrying	1
two	3
cftr	1
defects	1
developed	1
least	1
identified	1
of	1
vs	2
without	3
interestingly	1
p	3
tend	2
frequently	1
observed	1
frequent	1
male	3
bearing	2
class	2
ii	2
mutations	2
our	1
observations	1
reinforce	1
especially	1
involved	1
pathogenesis	1
